Time,110k Dis,110k For,LVDT 1VE,LVDT 2VW,SP2VBL,avg lvdt's,avg lvdt's2,110k For2
+000:00:42,0.00004,-0.000101,0.00004,0.00004,0.000003,0.00004,0.00004,0.000101
+000:00:42,0.000183,-0.000318,0.000183,0.000163,0.000071,0.000173,0.000173,0.000318
+000:00:42,0.000381,-0.001215,0.000341,0.000229,0.000195,0.000285,0.000285,0.001215
+000:00:43,0.000437,-0.003824,0.000314,0.000032,0.000213,0.000173,0.000173,0.003824
+000:00:43,0.000217,-0.007823,0.000171,-0.000258,0.00012,-0.0000435,-0.0000435,0.007823
+000:00:43,-0.000103,-0.012573,0.000166,-0.000283,-0.000045,-0.0000585,-0.0000585,0.012573
+000:00:43,-0.00032,-0.018267,0.00035,-0.000034,-0.000329,0.000158,0.000158,0.018267
+000:00:43,-0.000473,-0.024711,0.000601,0.000228,-0.000631,0.0004145,0.0004145,0.024711
+000:00:43,-0.000614,-0.0313,0.000694,0.000217,-0.00083,0.0004555,0.0004555,0.0313
+000:00:43,-0.000675,-0.037331,0.000597,-0.000008,-0.000922,0.0002945,0.0002945,0.037331
+000:00:43,-0.00058,-0.041977,0.000567,-0.000031,-0.000966,0.000268,0.000268,0.041977
+000:00:43,-0.000411,-0.045984,0.000724,0.000278,-0.000984,0.000501,0.000501,0.045984
+000:00:43,-0.000271,-0.050062,0.000967,0.000695,-0.000871,0.000831,0.000831,0.050062
+000:00:44,-0.000118,-0.052091,0.001085,0.000806,-0.000629,0.0009455,0.0009455,0.052091
+000:00:44,0.00011,-0.051857,0.001034,0.000491,-0.000448,0.0007625,0.0007625,0.051857
+000:00:44,0.000347,-0.051718,0.000978,0.000209,-0.000354,0.0005935,0.0005935,0.051718
+000:00:44,0.000512,-0.053159,0.001024,0.000293,-0.000296,0.0006585,0.0006585,0.053159
+000:00:44,0.000637,-0.056604,0.001173,0.000645,-0.000313,0.000909,0.000909,0.056604
+000:00:44,0.00145,-0.062543,0.001194,0.000879,-0.000351,0.0010365,0.0010365,0.062543
+000:00:44,0.003322,-0.071434,0.001011,0.000898,-0.000249,0.0009545,0.0009545,0.071434
+000:00:44,0.004919,-0.080941,0.000912,0.001059,-0.000038,0.0009855,0.0009855,0.080941
+000:00:44,0.005367,-0.089838,0.000997,0.001419,0.000076,0.001208,0.001208,0.089838
+000:00:44,0.005001,-0.099356,0.001092,0.001657,0.000088,0.0013745,0.0013745,0.099356
+000:00:45,0.004164,-0.109493,0.001025,0.001575,-0.000008,0.0013,0.0013,0.109493
+000:00:45,0.003111,-0.118889,0.000899,0.001436,-0.000292,0.0011675,0.0011675,0.118889
+000:00:45,0.002025,-0.127236,0.000927,0.001554,-0.000627,0.0012405,0.0012405,0.127236
+000:00:45,0.001025,-0.135908,0.001072,0.001805,-0.00083,0.0014385,0.0014385,0.135908
+000:00:45,0.00018,-0.145075,0.001159,0.001761,-0.000876,0.00146,0.00146,0.145075
+000:00:45,-0.000537,-0.153823,0.001041,0.00123,-0.000884,0.0011355,0.0011355,0.153823
+000:00:45,-0.001175,-0.161599,0.000841,0.000689,-0.000908,0.000765,0.000765,0.161599
+000:00:45,-0.00165,-0.168368,0.000807,0.000609,-0.000799,0.000708,0.000708,0.168368
+000:00:45,-0.001802,-0.173142,0.00092,0.00089,-0.000518,0.000905,0.000905,0.173142
+000:00:45,-0.001614,-0.175449,0.001,0.00116,-0.000212,0.00108,0.00108,0.175449
+000:00:46,-0.001304,-0.177033,0.00093,0.0012,0.00006,0.001065,0.001065,0.177033
+000:00:46,-0.00106,-0.177665,0.000871,0.001249,0.000248,0.00106,0.00106,0.177665
+000:00:46,-0.000818,-0.175062,0.000984,0.001522,0.000275,0.001253,0.001253,0.175062
+000:00:46,-0.000598,-0.171035,0.001078,0.001695,0.000183,0.0013865,0.0013865,0.171035
+000:00:46,-0.000549,-0.170842,0.001032,0.00157,0.000138,0.001301,0.001301,0.170842
+000:00:46,-0.000654,-0.175514,0.000979,0.001463,0.000192,0.001221,0.001221,0.175514
+000:00:46,-0.00079,-0.182751,0.001027,0.001619,0.000197,0.001323,0.001323,0.182751
+000:00:46,-0.000974,-0.192277,0.001157,0.001911,0.000123,0.001534,0.001534,0.192277
+000:00:46,-0.001356,-0.205018,0.001167,0.002024,-0.000058,0.0015955,0.0015955,0.205018
+000:00:46,-0.001853,-0.219641,0.001039,0.001975,-0.000404,0.001507,0.001507,0.219641
+000:00:47,-0.002224,-0.232747,0.001035,0.002086,-0.000768,0.0015605,0.0015605,0.232747
+000:00:47,-0.002485,-0.243224,0.00121,0.002391,-0.000976,0.0018005,0.0018005,0.243224
+000:00:47,-0.002753,-0.252056,0.001386,0.002596,-0.000961,0.001991,0.001991,0.252056
+000:00:47,-0.003006,-0.259687,0.001367,0.002458,-0.000838,0.0019125,0.0019125,0.259687
+000:00:47,-0.003207,-0.265792,0.001245,0.002212,-0.00074,0.0017285,0.0017285,0.265792
+000:00:47,-0.00332,-0.270408,0.001288,0.002239,-0.000571,0.0017635,0.0017635,0.270408
+000:00:47,-0.003246,-0.273276,0.001493,0.002498,-0.000299,0.0019955,0.0019955,0.273276
+000:00:47,-0.002937,-0.273324,0.001666,0.002684,-0.000114,0.002175,0.002175,0.273324
+000:00:47,-0.002483,-0.271058,0.001642,0.002588,-0.000062,0.002115,0.002115,0.271058
+000:00:47,-0.002013,-0.26976,0.001536,0.002418,-0.000055,0.001977,0.001977,0.26976
+000:00:48,-0.001509,-0.271399,0.001585,0.002517,-0.000109,0.002051,0.002051,0.271399
+000:00:48,-0.001004,-0.274167,0.001811,0.002881,-0.000218,0.002346,0.002346,0.274167
+000:00:48,-0.00068,-0.277256,0.002091,0.003285,-0.000264,0.002688,0.002688,0.277256
+000:00:48,-0.000578,-0.282211,0.002204,0.00338,-0.000239,0.002792,0.002792,0.282211
+000:00:48,-0.000647,-0.289674,0.002098,0.003109,-0.000271,0.0026035,0.0026035,0.289674
+000:00:48,-0.000901,-0.299009,0.001983,0.002886,-0.000351,0.0024345,0.0024345,0.299009
+000:00:48,-0.001353,-0.309438,0.001991,0.002933,-0.000501,0.002462,0.002462,0.309438
+000:00:48,-0.001896,-0.320836,0.002097,0.00309,-0.000803,0.0025935,0.0025935,0.320836
+000:00:48,-0.001951,-0.334612,0.002057,0.003022,-0.001134,0.0025395,0.0025395,0.334612
+000:00:48,-0.001206,-0.351257,0.001805,0.002715,-0.001323,0.00226,0.00226,0.351257
+000:00:49,-0.000451,-0.368606,0.001639,0.002582,-0.001298,0.0021105,0.0021105,0.368606
+000:00:49,-0.000212,-0.383665,0.001683,0.002751,-0.001124,0.002217,0.002217,0.383665
+000:00:49,-0.000322,-0.394496,0.001796,0.00294,-0.000934,0.002368,0.002368,0.394496
+000:00:49,-0.000649,-0.40265,0.001765,0.002844,-0.000698,0.0023045,0.0023045,0.40265
+000:00:49,-0.001088,-0.411244,0.001623,0.002595,-0.000382,0.002109,0.002109,0.411244
+000:00:49,-0.001583,-0.420536,0.001623,0.002588,-0.000143,0.0021055,0.0021055,0.420536
+000:00:49,-0.002035,-0.428865,0.001773,0.002818,-0.00002,0.0022955,0.0022955,0.428865
+000:00:49,-0.002241,-0.434378,0.001888,0.002919,0.000062,0.0024035,0.0024035,0.434378
+000:00:49,-0.002154,-0.436598,0.00183,0.00271,0.000038,0.00227,0.00227,0.436598
+000:00:49,-0.002024,-0.437692,0.001726,0.002498,-0.000085,0.002112,0.002112,0.437692
+000:00:50,-0.00204,-0.440308,0.001782,0.002604,-0.000155,0.002193,0.002193,0.440308
+000:00:50,-0.002107,-0.445539,0.001956,0.002884,-0.000123,0.00242,0.00242,0.445539
+000:00:50,-0.002222,-0.453132,0.002091,0.003033,-0.000099,0.002562,0.002562,0.453132
+000:00:50,-0.002519,-0.463037,0.00207,0.002965,-0.000122,0.0025175,0.0025175,0.463037
+000:00:50,-0.00299,-0.475959,0.002011,0.002945,-0.000235,0.002478,0.002478,0.475959
+000:00:50,-0.003453,-0.49197,0.002112,0.003177,-0.000505,0.0026445,0.0026445,0.49197
+000:00:50,-0.003814,-0.509095,0.002289,0.003453,-0.000794,0.002871,0.002871,0.509095
+000:00:50,-0.004141,-0.524896,0.002379,0.003513,-0.000916,0.002946,0.002946,0.524896
+000:00:50,-0.00442,-0.538275,0.002346,0.003409,-0.000836,0.0028775,0.0028775,0.538275
+000:00:50,-0.004666,-0.549769,0.002297,0.003411,-0.000674,0.002854,0.002854,0.549769
+000:00:51,-0.00495,-0.560978,0.002343,0.00364,-0.000557,0.0029915,0.0029915,0.560978
+000:00:51,-0.005258,-0.572089,0.002364,0.003836,-0.000407,0.0031,0.0031,0.572089
+000:00:51,-0.005474,-0.581742,0.002268,0.003774,-0.000138,0.003021,0.003021,0.581742
+000:00:51,-0.005555,-0.589179,0.002145,0.003611,0.000079,0.002878,0.002878,0.589179
+000:00:51,-0.005602,-0.595403,0.002115,0.003599,0.00015,0.002857,0.002857,0.595403
+000:00:51,-0.005624,-0.601694,0.002206,0.003784,0.000123,0.002995,0.002995,0.601694
+000:00:51,-0.005528,-0.607763,0.002269,0.00388,0.000001,0.0030745,0.0030745,0.607763
+000:00:51,-0.005263,-0.613022,0.002207,0.00369,-0.00015,0.0029485,0.0029485,0.613022
+000:00:51,-0.004851,-0.617579,0.00211,0.003452,-0.000216,0.002781,0.002781,0.617579
+000:00:51,-0.004337,-0.622727,0.0021,0.003444,-0.000175,0.002772,0.002772,0.622727
+000:00:52,-0.00384,-0.62993,0.002206,0.003664,-0.000151,0.002935,0.002935,0.62993
+000:00:52,-0.003494,-0.638435,0.002257,0.003793,-0.000182,0.003025,0.003025,0.638435
+000:00:52,-0.003292,-0.645001,0.002149,0.00365,-0.00028,0.0028995,0.0028995,0.645001
+000:00:52,-0.0032,-0.649232,0.002007,0.003487,-0.000544,0.002747,0.002747,0.649232
+000:00:52,-0.003285,-0.654882,0.001976,0.003544,-0.000859,0.00276,0.00276,0.654882
+000:00:52,-0.003639,-0.663259,0.002078,0.003798,-0.001037,0.002938,0.002938,0.663259
+000:00:52,-0.004196,-0.673817,0.002158,0.003957,-0.001078,0.0030575,0.0030575,0.673817
+000:00:52,-0.004698,-0.685729,0.002116,0.003841,-0.001059,0.0029785,0.0029785,0.685729
+000:00:52,-0.004965,-0.698537,0.002019,0.003659,-0.001013,0.002839,0.002839,0.698537
+000:00:52,-0.005118,-0.713282,0.001996,0.003671,-0.000863,0.0028335,0.0028335,0.713282
+000:00:53,-0.005287,-0.72961,0.002122,0.003905,-0.000599,0.0030135,0.0030135,0.72961
+000:00:53,-0.005393,-0.745642,0.002253,0.004104,-0.000393,0.0031785,0.0031785,0.745642
+000:00:53,-0.005389,-0.760376,0.002257,0.004041,-0.000278,0.003149,0.003149,0.760376
+000:00:53,-0.005315,-0.773696,0.002158,0.003838,-0.000206,0.002998,0.002998,0.773696
+000:00:53,-0.005222,-0.785157,0.002082,0.00376,-0.000246,0.002921,0.002921,0.785157
+000:00:53,-0.005084,-0.794587,0.002147,0.003931,-0.000334,0.003039,0.003039,0.794587
+000:00:53,-0.004868,-0.80314,0.002278,0.004166,-0.000274,0.003222,0.003222,0.80314
+000:00:53,-0.0046,-0.811731,0.002319,0.004183,-0.000066,0.003251,0.003251,0.811731
+000:00:53,-0.004319,-0.820378,0.002199,0.003958,0.000081,0.0030785,0.0030785,0.820378
+000:00:53,-0.004134,-0.830316,0.002046,0.003798,0.000107,0.002922,0.002922,0.830316
+000:00:54,-0.004144,-0.842192,0.002045,0.003932,0.00003,0.0029885,0.0029885,0.842192
+000:00:54,-0.004321,-0.855241,0.002141,0.004184,-0.000176,0.0031625,0.0031625,0.855241
+000:00:54,-0.004549,-0.870265,0.002171,0.004251,-0.000379,0.003211,0.003211,0.870265
+000:00:54,-0.004912,-0.887296,0.002056,0.004072,-0.00046,0.003064,0.003064,0.887296
+000:00:54,-0.005474,-0.904307,0.001917,0.003912,-0.000468,0.0029145,0.0029145,0.904307
+000:00:54,-0.005997,-0.919997,0.001936,0.004017,-0.000506,0.0029765,0.0029765,0.919997
+000:00:54,-0.006313,-0.934503,0.002073,0.004304,-0.000573,0.0031885,0.0031885,0.934503
+000:00:54,-0.00651,-0.947585,0.002175,0.004484,-0.000511,0.0033295,0.0033295,0.947585
+000:00:54,-0.006757,-0.957537,0.002066,0.004319,-0.000313,0.0031925,0.0031925,0.957537
+000:00:54,-0.007035,-0.963938,0.00179,0.003967,-0.000159,0.0028785,0.0028785,0.963938
+000:00:55,-0.007251,-0.969435,0.00163,0.003824,-0.000072,0.002727,0.002727,0.969435
+000:00:55,-0.007449,-0.976966,0.001677,0.003987,-0.000012,0.002832,0.002832,0.976966
+000:00:55,-0.007581,-0.986422,0.001794,0.004214,-0.000041,0.003004,0.003004,0.986422
+000:00:55,-0.007136,-0.996594,0.001745,0.004161,-0.000132,0.002953,0.002953,0.996594
+000:00:55,-0.005895,-1.006889,0.001533,0.003873,-0.000104,0.002703,0.002703,1.006889
+000:00:55,-0.004605,-1.016557,0.001434,0.003759,0.000038,0.0025965,0.0025965,1.016557
+000:00:55,-0.003769,-1.025487,0.001537,0.003946,0.000103,0.0027415,0.0027415,1.025487
+000:00:55,-0.003312,-1.034351,0.001701,0.004191,0.000082,0.002946,0.002946,1.034351
+000:00:55,-0.003215,-1.04431,0.001729,0.004213,-0.000023,0.002971,0.002971,1.04431
+000:00:55,-0.003437,-1.056923,0.001669,0.004129,-0.000256,0.002899,0.002899,1.056923
+000:00:56,-0.003845,-1.072859,0.001737,0.004245,-0.000516,0.002991,0.002991,1.072859
+000:00:56,-0.004321,-1.09087,0.001882,0.004421,-0.00066,0.0031515,0.0031515,1.09087
+000:00:56,-0.004781,-1.109307,0.001965,0.00442,-0.00067,0.0031925,0.0031925,1.109307
+000:00:56,-0.005275,-1.127761,0.002001,0.004385,-0.000676,0.003193,0.003193,1.127761
+000:00:56,-0.005931,-1.146591,0.002084,0.004533,-0.000708,0.0033085,0.0033085,1.146591
+000:00:56,-0.006699,-1.165254,0.002211,0.004766,-0.000638,0.0034885,0.0034885,1.165254
+000:00:56,-0.007498,-1.183596,0.002175,0.004773,-0.00047,0.003474,0.003474,1.183596
+000:00:56,-0.008271,-1.201805,0.001997,0.004615,-0.000353,0.003306,0.003306,1.201805
+000:00:56,-0.008926,-1.219389,0.001943,0.004645,-0.000308,0.003294,0.003294,1.219389
+000:00:56,-0.009373,-1.236486,0.002014,0.004834,-0.00028,0.003424,0.003424,1.236486
+000:00:57,-0.009408,-1.253723,0.002038,0.004888,-0.000284,0.003463,0.003463,1.253723
+000:00:57,-0.009016,-1.271455,0.00193,0.00475,-0.000292,0.00334,0.00334,1.271455
+000:00:57,-0.008542,-1.287113,0.001806,0.004682,-0.000169,0.003244,0.003244,1.287113
+000:00:57,-0.008134,-1.29773,0.001822,0.004845,0.000058,0.0033335,0.0033335,1.29773
+000:00:57,-0.007661,-1.30436,0.001887,0.005002,0.000178,0.0034445,0.0034445,1.30436
+000:00:57,-0.007143,-1.310474,0.001878,0.004922,0.000178,0.0034,0.0034,1.310474
+000:00:57,-0.006699,-1.318598,0.001801,0.004716,0.000075,0.0032585,0.0032585,1.318598
+000:00:57,-0.006378,-1.328705,0.001768,0.004647,-0.000187,0.0032075,0.0032075,1.328705
+000:00:57,-0.006223,-1.33891,0.001886,0.004832,-0.000476,0.003359,0.003359,1.33891
+000:00:57,-0.006266,-1.348859,0.002071,0.005125,-0.00061,0.003598,0.003598,1.348859
+000:00:58,-0.006493,-1.361081,0.002124,0.005182,-0.000576,0.003653,0.003653,1.361081
+000:00:58,-0.00688,-1.376271,0.001927,0.004822,-0.000541,0.0033745,0.0033745,1.376271
+000:00:58,-0.00736,-1.392202,0.001666,0.004405,-0.000571,0.0030355,0.0030355,1.392202
+000:00:58,-0.007799,-1.408012,0.001605,0.004346,-0.000502,0.0029755,0.0029755,1.408012
+000:00:58,-0.008177,-1.4239,0.001739,0.004582,-0.0003,0.0031605,0.0031605,1.4239
+000:00:58,-0.008526,-1.439184,0.001906,0.004787,-0.00015,0.0033465,0.0033465,1.439184
+000:00:58,-0.008849,-1.453696,0.00188,0.004714,-0.000116,0.003297,0.003297,1.453696
+000:00:58,-0.009148,-1.46727,0.001692,0.00453,-0.000122,0.003111,0.003111,1.46727
+000:00:58,-0.009428,-1.479451,0.001637,0.00459,-0.000178,0.0031135,0.0031135,1.479451
+000:00:58,-0.009715,-1.48964,0.001751,0.004883,-0.000282,0.003317,0.003317,1.48964
+000:00:59,-0.009961,-1.498416,0.001824,0.00506,-0.000307,0.003442,0.003442,1.498416
+000:00:59,-0.010123,-1.508392,0.001684,0.004907,-0.000209,0.0032955,0.0032955,1.508392
+000:00:59,-0.010136,-1.521031,0.001479,0.004696,-0.000137,0.0030875,0.0030875,1.521031
+000:00:59,-0.009872,-1.535969,0.00147,0.004766,-0.000143,0.003118,0.003118,1.535969
+000:00:59,-0.009351,-1.552347,0.001627,0.005051,-0.000218,0.003339,0.003339,1.552347
+000:00:59,-0.008768,-1.567024,0.001758,0.00523,-0.000388,0.003494,0.003494,1.567024
+000:00:59,-0.008272,-1.576477,0.00168,0.005085,-0.000613,0.0033825,0.0033825,1.576477
+000:00:59,-0.007872,-1.583044,0.001496,0.004844,-0.000747,0.00317,0.00317,1.583044
+000:00:59,-0.007565,-1.592338,0.001478,0.004863,-0.000693,0.0031705,0.0031705,1.592338
+000:00:59,-0.007443,-1.606573,0.001649,0.005147,-0.000555,0.003398,0.003398,1.606573
+000:01:00,-0.007571,-1.62412,0.001848,0.005459,-0.00045,0.0036535,0.0036535,1.62412
+000:01:00,-0.007627,-1.643927,0.001846,0.005481,-0.000344,0.0036635,0.0036635,1.643927
+000:01:00,-0.007411,-1.666124,0.001657,0.005255,-0.00019,0.003456,0.003456,1.666124
+000:01:00,-0.007361,-1.688432,0.001563,0.005191,-0.000084,0.003377,0.003377,1.688432
+000:01:00,-0.007661,-1.708816,0.001659,0.005375,-0.000047,0.003517,0.003517,1.708816
+000:01:00,-0.008102,-1.727553,0.001808,0.005544,-0.000023,0.003676,0.003676,1.727553
+000:01:00,-0.008718,-1.745154,0.001778,0.005427,-0.000077,0.0036025,0.0036025,1.745154
+000:01:00,-0.009538,-1.761778,0.001576,0.005137,-0.000206,0.0033565,0.0033565,1.761778
+000:01:00,-0.010242,-1.776358,0.00148,0.005061,-0.000264,0.0032705,0.0032705,1.776358
+000:01:00,-0.010634,-1.788253,0.001581,0.005268,-0.000187,0.0034245,0.0034245,1.788253
+000:01:01,-0.010834,-1.799119,0.00174,0.0055,-0.000117,0.00362,0.00362,1.799119
+000:01:01,-0.010996,-1.810842,0.001722,0.005448,-0.000146,0.003585,0.003585,1.810842
+000:01:01,-0.011181,-1.823721,0.001532,0.005198,-0.000224,0.003365,0.003365,1.823721
+000:01:01,-0.011224,-1.837431,0.001448,0.005142,-0.000345,0.003295,0.003295,1.837431
+000:01:01,-0.010993,-1.852843,0.001559,0.005356,-0.000481,0.0034575,0.0034575,1.852843
+000:01:01,-0.010564,-1.869997,0.001725,0.005585,-0.000559,0.003655,0.003655,1.869997
+000:01:01,-0.010143,-1.886567,0.001714,0.005524,-0.000535,0.003619,0.003619,1.886567
+000:01:01,-0.009841,-1.901914,0.001529,0.005262,-0.000445,0.0033955,0.0033955,1.901914
+000:01:01,-0.0096,-1.916286,0.001447,0.005194,-0.000363,0.0033205,0.0033205,1.916286
+000:01:01,-0.009518,-1.928879,0.001561,0.005395,-0.000259,0.003478,0.003478,1.928879
+000:01:02,-0.009705,-1.939317,0.001729,0.005614,-0.000128,0.0036715,0.0036715,1.939317
+000:01:02,-0.01007,-1.947173,0.001738,0.005564,-0.000094,0.003651,0.003651,1.947173
+000:01:02,-0.010459,-1.954288,0.001624,0.005345,-0.000121,0.0034845,0.0034845,1.954288
+000:01:02,-0.010832,-1.96331,0.001641,0.005339,-0.000108,0.00349,0.00349,1.96331
+000:01:02,-0.011186,-1.974118,0.001822,0.005608,-0.000112,0.003715,0.003715,1.974118
+000:01:02,-0.011438,-1.985442,0.002033,0.005893,-0.000119,0.003963,0.003963,1.985442
+000:01:02,-0.011524,-1.996127,0.002005,0.005844,-0.000023,0.0039245,0.0039245,1.996127
+000:01:02,-0.011517,-2.005724,0.001664,0.005482,0.000149,0.003573,0.003573,2.005724
+000:01:02,-0.011572,-2.016786,0.001353,0.005252,0.000243,0.0033025,0.0033025,2.016786
+000:01:02,-0.011681,-2.031878,0.001285,0.005366,0.000243,0.0033255,0.0033255,2.031878
+000:01:03,-0.011777,-2.049869,0.00142,0.005711,0.000196,0.0035655,0.0035655,2.049869
+000:01:03,-0.011837,-2.06968,0.001593,0.006015,0.000066,0.003804,0.003804,2.06968
+000:01:03,-0.011727,-2.089568,0.001657,0.006049,-0.00009,0.003853,0.003853,2.089568
+000:01:03,-0.011317,-2.106701,0.001584,0.005865,-0.000146,0.0037245,0.0037245,2.106701
+000:01:03,-0.010767,-2.121372,0.001511,0.005738,-0.00012,0.0036245,0.0036245,2.121372
+000:01:03,-0.010292,-2.135496,0.001604,0.005879,-0.000138,0.0037415,0.0037415,2.135496
+000:01:03,-0.009904,-2.149781,0.001816,0.00622,-0.000212,0.004018,0.004018,2.149781
+000:01:03,-0.009643,-2.163805,0.001987,0.006502,-0.000225,0.0042445,0.0042445,2.163805
+000:01:03,-0.009443,-2.178062,0.001916,0.006441,-0.00019,0.0041785,0.0041785,2.178062
+000:01:03,-0.00926,-2.19494,0.001637,0.006125,-0.000209,0.003881,0.003881,2.19494
+000:01:04,-0.009282,-2.215338,0.001447,0.005973,-0.00026,0.00371,0.00371,2.215338
+000:01:04,-0.009535,-2.236715,0.00147,0.006139,-0.000303,0.0038045,0.0038045,2.236715
+000:01:04,-0.009895,-2.257123,0.001627,0.006455,-0.000387,0.004041,0.004041,2.257123
+000:01:04,-0.010276,-2.27774,0.001718,0.006642,-0.000502,0.00418,0.00418,2.27774
+000:01:04,-0.010618,-2.298864,0.001679,0.006609,-0.000492,0.004144,0.004144,2.298864
+000:01:04,-0.010888,-2.318172,0.001659,0.006559,-0.000323,0.004109,0.004109,2.318172
+000:01:04,-0.011091,-2.333518,0.001754,0.006683,-0.000202,0.0042185,0.0042185,2.333518
+000:01:04,-0.011314,-2.34563,0.001956,0.006969,-0.000192,0.0044625,0.0044625,2.34563
+000:01:04,-0.011572,-2.356604,0.002129,0.007155,-0.00026,0.004642,0.004642,2.356604
+000:01:04,-0.011712,-2.366529,0.002169,0.007061,-0.000429,0.004615,0.004615,2.366529
+000:01:05,-0.011664,-2.37627,0.002101,0.006835,-0.000617,0.004468,0.004468,2.37627
+000:01:05,-0.01156,-2.387923,0.002049,0.006743,-0.000714,0.004396,0.004396,2.387923
+000:01:05,-0.011488,-2.399925,0.002112,0.006886,-0.000672,0.004499,0.004499,2.399925
+000:01:05,-0.011363,-2.410645,0.002184,0.007027,-0.000559,0.0046055,0.0046055,2.410645
+000:01:05,-0.011032,-2.422574,0.002155,0.006934,-0.000451,0.0045445,0.0045445,2.422574
+000:01:05,-0.010576,-2.436209,0.002044,0.006719,-0.000253,0.0043815,0.0043815,2.436209
+000:01:05,-0.010217,-2.448978,0.001969,0.006644,0.000044,0.0043065,0.0043065,2.448978
+000:01:05,-0.01003,-2.461109,0.002044,0.006826,0.000244,0.004435,0.004435,2.461109
+000:01:05,-0.010048,-2.474691,0.002189,0.007097,0.000307,0.004643,0.004643,2.474691
+000:01:05,-0.010297,-2.490924,0.002226,0.007142,0.000328,0.004684,0.004684,2.490924
+000:01:06,-0.010775,-2.51099,0.002051,0.006838,0.000266,0.0044445,0.0044445,2.51099
+000:01:06,-0.011421,-2.534353,0.001815,0.006496,0.000094,0.0041555,0.0041555,2.534353
+000:01:06,-0.012082,-2.558858,0.001758,0.006457,-0.000033,0.0041075,0.0041075,2.558858
+000:01:06,-0.012641,-2.582988,0.001862,0.006657,-0.000016,0.0042595,0.0042595,2.582988
+000:01:06,-0.013089,-2.603913,0.001959,0.006813,0.000014,0.004386,0.004386,2.603913
+000:01:06,-0.013489,-2.620558,0.001865,0.006666,-0.000017,0.0042655,0.0042655,2.620558
+000:01:06,-0.013867,-2.634827,0.001614,0.006338,-0.000039,0.003976,0.003976,2.634827
+000:01:06,-0.014161,-2.646887,0.001484,0.006221,-0.000055,0.0038525,0.0038525,2.646887
+000:01:06,-0.014356,-2.656984,0.001563,0.006389,-0.000112,0.003976,0.003976,2.656984
+000:01:06,-0.014453,-2.666074,0.001709,0.006587,-0.00015,0.004148,0.004148,2.666074
+000:01:07,-0.014378,-2.674853,0.001705,0.006525,-0.000096,0.004115,0.004115,2.674853
+000:01:07,-0.014139,-2.683953,0.001586,0.006323,0.000001,0.0039545,0.0039545,2.683953
+000:01:07,-0.013753,-2.692507,0.001603,0.006348,0.000057,0.0039755,0.0039755,2.692507
+000:01:07,-0.013264,-2.699159,0.001766,0.006598,0.000068,0.004182,0.004182,2.699159
+000:01:07,-0.012729,-2.705302,0.00189,0.00677,0.000039,0.00433,0.00433,2.705302
+000:01:07,-0.012246,-2.713519,0.001817,0.006658,-0.000053,0.0042375,0.0042375,2.713519
+000:01:07,-0.012017,-2.723873,0.001665,0.006473,-0.000135,0.004069,0.004069,2.723873
+000:01:07,-0.01201,-2.735429,0.001674,0.006537,-0.000164,0.0041055,0.0041055,2.735429
+000:01:07,-0.012105,-2.747972,0.001807,0.006756,-0.000228,0.0042815,0.0042815,2.747972
+000:01:07,-0.012258,-2.761668,0.001868,0.006776,-0.000324,0.004322,0.004322,2.761668
+000:01:08,-0.012496,-2.777413,0.001756,0.006485,-0.00032,0.0041205,0.0041205,2.777413
+000:01:08,-0.01287,-2.795559,0.001624,0.006259,-0.000196,0.0039415,0.0039415,2.795559
+000:01:08,-0.013261,-2.813907,0.00165,0.006395,-0.00012,0.0040225,0.0040225,2.813907
+000:01:08,-0.013531,-2.830647,0.001735,0.006651,-0.000115,0.004193,0.004193,2.830647
+000:01:08,-0.013642,-2.846478,0.00177,0.006743,-0.000119,0.0042565,0.0042565,2.846478
+000:01:08,-0.013681,-2.863086,0.001792,0.006763,-0.000231,0.0042775,0.0042775,2.863086
+000:01:08,-0.013712,-2.880686,0.001862,0.006895,-0.000427,0.0043785,0.0043785,2.880686
+000:01:08,-0.013694,-2.89813,0.001939,0.007008,-0.000536,0.0044735,0.0044735,2.89813
+000:01:08,-0.013648,-2.915077,0.001872,0.006899,-0.000509,0.0043855,0.0043855,2.915077
+000:01:08,-0.013626,-2.931569,0.001759,0.006797,-0.000427,0.004278,0.004278,2.931569
+000:01:09,-0.013561,-2.948392,0.001766,0.006929,-0.000369,0.0043475,0.0043475,2.948392
+000:01:09,-0.013234,-2.966226,0.001689,0.006999,-0.000273,0.004344,0.004344,2.966226
+000:01:09,-0.012663,-2.985365,0.001464,0.006883,-0.000095,0.0041735,0.0041735,2.985365
+000:01:09,-0.012143,-3.00539,0.001383,0.006899,0.000019,0.004141,0.004141,3.00539
+000:01:09,-0.011798,-3.02554,0.00146,0.007018,0.000025,0.004239,0.004239,3.02554
+000:01:09,-0.011614,-3.046239,0.001534,0.007032,0.000034,0.004283,0.004283,3.046239
+000:01:09,-0.011626,-3.067154,0.001598,0.007079,0.000028,0.0043385,0.0043385,3.067154
+000:01:09,-0.011826,-3.088617,0.001712,0.007283,-0.000051,0.0044975,0.0044975,3.088617
+000:01:09,-0.012108,-3.111479,0.001828,0.007412,-0.000077,0.00462,0.00462,3.111479
+000:01:09,-0.012502,-3.134305,0.001796,0.00726,0.000012,0.004528,0.004528,3.134305
+000:01:10,-0.013096,-3.154871,0.001711,0.007122,0.000065,0.0044165,0.0044165,3.154871
+000:01:10,-0.01377,-3.171047,0.001761,0.007224,0.000042,0.0044925,0.0044925,3.171047
