Time,ms,110k Dis,,110k For,,LVDT 1 V,,LVDT 2 V,,LVDT Avg.,SP2 Bloc,,Act. Disp.,,,,,
,,V,inches,V,kips,V,inches,V,inches,inches,V,inches,,,,,,
+000:00:00,0,0.000,0.000,0.007,0.069,-4.167,0.000,-7.385,0.002,0.001,1.688,-0.00171164,0.002,,load,max,0.801,kips
+000:00:00,100,0.000,0.000,0.004,0.038,-4.181,0.003,-7.397,0.004,0.003,1.692,0.00027286,0.000,,,,,
+000:00:00,200,0.000,0.000,0.004,0.035,-4.162,-0.001,-7.370,-0.001,-0.001,1.699,0.00286486,-0.003,,block move,max,-0.09429464,
+000:00:00,300,0.021,0.021,0.000,-0.005,-4.137,-0.006,-7.342,-0.007,-0.006,1.688,-0.00159014,0.022,,,,,
+000:00:00,400,0.001,0.001,0.005,0.053,-4.181,0.003,-7.397,0.004,0.003,1.691,-0.00033464,0.001,,,,,
+000:00:00,500,0.004,0.004,0.008,0.084,-4.171,0.001,-7.390,0.003,0.002,1.693,0.00039436,0.003,,,,,
+000:00:00,600,0.004,0.004,0.005,0.050,-4.171,0.001,-7.375,0.000,0.000,1.691,-0.00033464,0.004,,,,,
+000:00:00,700,0.003,0.003,-0.035,-0.346,-4.154,-0.002,-7.353,-0.004,-0.003,1.690,-0.00086114,0.004,,,,,
+000:00:00,800,0.001,0.001,0.004,0.038,-4.161,-0.001,-7.377,0.000,0.000,1.697,0.00201436,-0.001,,,,,
+000:00:00,900,0.003,0.003,0.009,0.090,-4.183,0.003,-7.400,0.004,0.004,1.699,0.00298636,0.000,,,,,
+000:00:01,0,0.002,0.002,0.005,0.050,-4.164,0.000,-7.375,0.000,0.000,1.688,-0.00146864,0.004,,,,,
+000:00:01,100,0.001,0.001,0.024,0.243,-4.133,-0.006,-7.336,-0.008,-0.007,1.689,-0.00110414,0.002,,,,,
+000:00:01,200,-0.004,-0.004,0.003,0.026,-4.177,0.002,-7.396,0.004,0.003,1.692,0.00027286,-0.004,,,,,
+000:00:01,300,0.003,0.003,0.004,0.041,-4.170,0.001,-7.391,0.003,0.002,1.681,-0.00454664,0.007,,,,,
+000:00:01,400,0.000,0.000,0.005,0.050,-4.169,0.001,-7.377,0.000,0.000,1.690,-0.00086114,0.000,,,,,
+000:00:01,500,0.002,0.002,0.007,0.072,-4.156,-0.002,-7.356,-0.004,-0.003,1.692,0.00027286,0.002,,,,,
+000:00:01,600,-0.006,-0.006,-0.004,-0.035,-4.158,-0.002,-7.372,-0.001,-0.001,1.694,0.00100186,-0.007,,,,,
+000:00:01,700,0.005,0.005,0.007,0.066,-4.184,0.003,-7.400,0.005,0.004,1.691,-0.00033464,0.006,,,,,
+000:00:01,800,0.000,0.000,0.008,0.078,-4.166,0.000,-7.386,0.002,0.001,1.686,-0.00231914,0.002,,,,,
+000:00:01,900,0.001,0.001,0.006,0.063,-4.156,-0.002,-7.354,-0.004,-0.003,1.693,0.00039436,0.000,,,,,
+000:00:02,0,-0.001,-0.001,0.005,0.053,-4.167,0.000,-7.376,0.000,0.000,1.702,0.00432286,-0.005,,,,,
+000:00:02,100,0.000,0.000,0.009,0.090,-4.167,0.000,-7.387,0.002,0.001,1.688,-0.00159014,0.002,,,,,
+000:00:02,200,0.003,0.003,0.003,0.026,-4.181,0.003,-7.396,0.004,0.003,1.691,-0.00033464,0.003,,,,,
+000:00:02,300,0.001,0.001,0.004,0.044,-4.158,-0.002,-7.363,-0.003,-0.002,1.693,0.00051586,0.001,,,,,
+000:00:02,400,0.001,0.001,0.002,0.023,-4.142,-0.004,-7.351,-0.005,-0.005,1.688,-0.00171164,0.003,,,,,
+000:00:02,500,0.005,0.005,0.010,0.102,-4.179,0.002,-7.396,0.004,0.003,1.689,-0.00110414,0.006,,,,,
+000:00:02,600,0.005,0.005,0.008,0.084,-4.170,0.001,-7.392,0.003,0.002,1.696,0.00173086,0.004,,,,,
+000:00:02,700,0.004,0.004,0.006,0.056,-4.172,0.001,-7.380,0.001,0.001,1.700,0.00335086,0.001,,,,,
+000:00:02,800,0.004,0.004,0.007,0.066,-4.146,-0.004,-7.320,-0.011,-0.007,1.690,-0.00073964,0.004,,,,,
+000:00:02,900,0.004,0.004,0.009,0.093,-4.153,-0.002,-7.370,-0.001,-0.002,1.688,-0.00134714,0.005,,,,,
+000:00:03,0,0.001,0.001,0.007,0.072,-4.184,0.003,-7.401,0.005,0.004,1.694,0.00088036,0.000,,,,,
+000:00:03,100,0.000,0.000,0.006,0.060,-4.171,0.001,-7.387,0.002,0.001,1.684,-0.00321014,0.003,,,,,
+000:00:03,200,-0.001,-0.001,0.006,0.056,-4.163,-0.001,-7.362,-0.003,-0.002,1.690,-0.00073964,-0.001,,,,,
+000:00:03,300,0.000,0.000,0.000,0.002,-4.168,0.000,-7.377,0.000,0.000,1.691,-0.00033464,0.000,,,,,
+000:00:03,400,-0.001,-0.001,0.004,0.041,-4.169,0.001,-7.388,0.002,0.001,1.695,0.00112336,-0.002,,,,,
+000:00:03,500,-0.001,-0.001,0.004,0.041,-4.179,0.002,-7.392,0.003,0.003,1.688,-0.00146864,0.000,,,,,
+000:00:03,600,-0.002,-0.002,0.004,0.041,-4.158,-0.002,-7.364,-0.002,-0.002,1.689,-0.00122564,0.000,,,,,
+000:00:03,700,-0.004,-0.004,0.002,0.020,-4.138,-0.005,-7.348,-0.005,-0.005,1.690,-0.00061814,-0.004,,,,,
+000:00:03,800,0.001,0.001,0.004,0.035,-4.180,0.003,-7.397,0.004,0.003,1.702,0.00420136,-0.003,,,,,
+000:00:03,900,0.000,0.000,0.004,0.038,-4.172,0.001,-7.391,0.003,0.002,1.688,-0.00134714,0.001,,,,,
+000:00:04,0,-0.001,-0.001,0.000,0.005,-4.170,0.001,-7.378,0.000,0.001,1.690,-0.00086114,0.000,,,,,
+000:00:04,100,-0.002,-0.002,0.006,0.063,-4.156,-0.002,-7.333,-0.008,-0.005,1.696,0.00160936,-0.003,,,,,
+000:00:04,200,0.000,0.000,0.001,0.011,-4.156,-0.002,-7.369,-0.001,-0.002,1.688,-0.00159014,0.002,,,,,
+000:00:04,300,0.001,0.001,0.005,0.053,-4.182,0.003,-7.401,0.005,0.004,1.691,-0.00049664,0.002,,,,,
+000:00:04,400,0.000,0.000,0.003,0.029,-4.170,0.001,-7.387,0.002,0.001,1.695,0.00112336,-0.001,,,,,
+000:00:04,500,0.004,0.004,0.009,0.093,-4.163,-0.001,-7.363,-0.003,-0.002,1.702,0.00432286,0.000,,,,,
+000:00:04,600,0.005,0.005,0.014,0.142,-4.162,-0.001,-7.369,-0.001,-0.001,1.691,-0.00049664,0.006,,,,,
+000:00:04,700,0.004,0.004,0.005,0.050,-4.164,0.000,-7.383,0.001,0.000,1.688,-0.00171164,0.006,,,,,
+000:00:04,800,0.002,0.002,0.006,0.056,-4.182,0.003,-7.399,0.004,0.004,1.694,0.00075886,0.001,,,,,
+000:00:04,900,0.003,0.003,0.007,0.072,-4.166,0.000,-7.376,0.000,0.000,1.687,-0.00183314,0.005,,,,,
+000:00:05,0,0.002,0.002,0.008,0.084,-4.150,-0.003,-7.341,-0.007,-0.005,1.693,0.00063736,0.002,,,,,
+000:00:05,100,0.002,0.002,0.007,0.072,-4.172,0.001,-7.385,0.002,0.001,1.692,-9.16398E-05,0.002,,,,,
+000:00:05,200,0.002,0.002,0.003,0.029,-4.168,0.000,-7.389,0.002,0.001,1.695,0.00148786,0.000,,,,,
+000:00:05,300,-0.004,-0.004,0.001,0.014,-4.179,0.003,-7.394,0.003,0.003,1.688,-0.00134714,-0.002,,,,,
+000:00:05,400,0.000,0.000,0.004,0.035,-4.159,-0.001,-7.366,-0.002,-0.002,1.688,-0.00171164,0.002,,,,,
+000:00:05,500,0.008,0.008,-0.002,-0.017,-4.138,-0.005,-7.343,-0.006,-0.006,1.691,-0.00049664,0.008,,,,,
+000:00:05,600,0.003,0.003,0.002,0.017,-4.182,0.003,-7.397,0.004,0.003,1.699,0.00274336,0.000,,,,,
+000:00:05,700,-0.007,-0.007,-0.004,-0.044,-4.175,0.002,-7.390,0.002,0.002,1.688,-0.00171164,-0.005,,,,,
+000:00:05,800,0.003,0.003,0.007,0.072,-4.166,0.000,-7.373,-0.001,0.000,1.692,2.98602E-05,0.003,,,,,
+000:00:05,900,-0.043,-0.043,0.004,0.035,-4.158,-0.002,-7.357,-0.004,-0.003,1.696,0.00160936,-0.045,,,,,
+000:00:06,0,0.000,0.000,0.004,0.035,-4.163,-0.001,-7.377,0.000,0.000,1.688,-0.00159014,0.002,,,,,
+000:00:06,100,-0.003,-0.003,0.000,-0.005,-4.184,0.003,-7.401,0.005,0.004,1.690,-0.00086114,-0.002,,,,,
+000:00:06,200,0.001,0.001,0.008,0.084,-4.168,0.000,-7.381,0.001,0.001,1.696,0.00185236,-0.001,,,,,
+000:00:06,300,0.002,0.002,0.004,0.041,-4.152,-0.003,-7.344,-0.006,-0.004,1.701,0.00359386,-0.002,,,,,
+000:00:06,400,0.004,0.004,0.005,0.047,-4.174,0.002,-7.386,0.002,0.002,1.689,-0.00110414,0.005,,,,,
+000:00:06,500,0.004,0.004,0.004,0.041,-4.170,0.001,-7.390,0.003,0.002,1.688,-0.00159014,0.005,,,,,
+000:00:06,600,0.004,0.004,0.008,0.084,-4.179,0.003,-7.392,0.003,0.003,1.694,0.00075886,0.003,,,,,
+000:00:06,700,0.004,0.004,0.005,0.053,-4.159,-0.001,-7.363,-0.003,-0.002,1.682,-0.00381764,0.008,,,,,
+000:00:06,800,0.009,0.009,0.001,0.011,-4.138,-0.005,-7.344,-0.006,-0.006,1.688,-0.00171164,0.011,,,,,
+000:00:06,900,0.004,0.004,0.005,0.050,-4.180,0.003,-7.394,0.003,0.003,1.692,0.00015136,0.004,,,,,
+000:00:07,0,0.002,0.002,0.003,0.029,-4.172,0.001,-7.391,0.003,0.002,1.695,0.00136636,0.001,,,,,
+000:00:07,100,0.000,0.000,0.006,0.056,-4.175,0.002,-7.383,0.001,0.002,1.689,-0.00110414,0.001,,,,,
+000:00:07,200,0.000,0.000,0.003,0.029,-4.148,-0.003,-7.348,-0.005,-0.004,1.695,0.00148786,-0.001,,,,,
+000:00:07,300,-0.003,-0.003,0.002,0.017,-4.149,-0.003,-7.361,-0.003,-0.003,1.692,-9.16398E-05,-0.003,,,,,
+000:00:07,400,0.000,0.000,0.001,0.014,-4.182,0.003,-7.399,0.004,0.004,1.700,0.00335086,-0.004,,,,,
+000:00:07,500,-0.001,-0.001,0.005,0.053,-4.171,0.001,-7.390,0.003,0.002,1.688,-0.00171164,0.001,,,,,
+000:00:07,600,-0.002,-0.002,0.006,0.060,-4.164,0.000,-7.373,-0.001,-0.001,1.691,-0.00021314,-0.001,,,,,
+000:00:07,700,0.002,0.002,-0.003,-0.029,-4.158,-0.002,-7.355,-0.004,-0.003,1.695,0.00148786,0.000,,,,,
+000:00:07,800,0.001,0.001,0.002,0.023,-4.161,-0.001,-7.380,0.001,0.000,1.688,-0.00146864,0.002,,,,,
+000:00:07,900,0.001,0.001,0.004,0.038,-4.183,0.003,-7.401,0.005,0.004,1.690,-0.00073964,0.002,,,,,
+000:00:08,0,0.000,0.000,0.009,0.087,-4.160,-0.001,-7.378,0.000,0.000,1.696,0.00185236,-0.002,,,,,
+000:00:08,100,-0.001,-0.001,0.002,0.017,-4.150,-0.003,-7.336,-0.008,-0.005,1.699,0.00286486,-0.004,,,,,
+000:00:08,200,0.002,0.002,0.007,0.072,-4.176,0.002,-7.390,0.003,0.002,1.692,-9.16398E-05,0.002,,,,,
+000:00:08,300,0.001,0.001,0.004,0.035,-4.170,0.001,-7.391,0.003,0.002,1.688,-0.00159014,0.002,,,,,
+000:00:08,400,0.001,0.001,0.004,0.044,-4.179,0.002,-7.390,0.002,0.002,1.694,0.00075886,0.000,,,,,
+000:00:08,500,0.002,0.002,0.004,0.035,-4.153,-0.002,-7.352,-0.005,-0.004,1.687,-0.00195464,0.004,,,,,
+000:00:08,600,0.002,0.002,0.007,0.075,-4.152,-0.003,-7.362,-0.003,-0.003,1.689,-0.00122564,0.003,,,,,
+000:00:08,700,0.002,0.002,0.007,0.069,-4.184,0.003,-7.400,0.004,0.004,1.692,0.00027286,0.002,,,,,
+000:00:08,800,0.002,0.002,0.004,0.038,-4.172,0.001,-7.389,0.002,0.002,1.695,0.00112336,0.001,,,,,
+000:00:08,900,0.003,0.003,0.012,0.117,-4.161,-0.001,-7.367,-0.002,-0.001,1.691,-0.00049664,0.003,,,,,
+000:00:09,0,0.002,0.002,0.006,0.063,-4.164,0.000,-7.367,-0.002,-0.001,1.691,-0.00049664,0.002,,,,,
+000:00:09,100,0.003,0.003,0.007,0.072,-4.167,0.000,-7.385,0.002,0.001,1.691,-0.00021314,0.003,,,,,
+000:00:09,200,0.000,0.000,0.000,0.005,-4.182,0.003,-7.395,0.003,0.003,1.702,0.00420136,-0.004,,,,,
+000:00:09,300,0.002,0.002,0.001,0.014,-4.159,-0.001,-7.362,-0.003,-0.002,1.688,-0.00146864,0.003,,,,,
+000:00:09,400,-0.010,-0.010,-0.004,-0.041,-4.148,-0.003,-7.356,-0.004,-0.004,1.688,-0.00134714,-0.009,,,,,
+000:00:09,500,0.002,0.002,0.004,0.044,-4.182,0.003,-7.400,0.005,0.004,1.696,0.00173086,0.001,,,,,
+000:00:09,600,-0.002,-0.002,0.004,0.044,-4.170,0.001,-7.389,0.002,0.002,1.688,-0.00171164,-0.001,,,,,
+000:00:09,700,-0.001,-0.001,0.002,0.017,-4.168,0.000,-7.370,-0.001,0.000,1.690,-0.00061814,-0.001,,,,,
+000:00:09,800,-0.004,-0.004,0.001,0.011,-4.160,-0.001,-7.361,-0.003,-0.002,1.691,-0.00033464,-0.004,,,,,
+000:00:09,900,0.002,0.002,0.005,0.053,-4.164,0.000,-7.382,0.001,0.000,1.701,0.00359386,-0.002,,,,,
+000:00:10,0,0.001,0.001,0.002,0.023,-4.184,0.003,-7.400,0.004,0.004,1.691,-0.00049664,0.002,,,,,
+000:00:10,100,0.000,0.000,0.007,0.069,-4.167,0.000,-7.380,0.001,0.000,1.688,-0.00146864,0.002,,,,,
+000:00:10,200,0.000,0.000,0.001,0.011,-4.151,-0.003,-7.345,-0.006,-0.004,1.695,0.00124486,-0.001,,,,,
+000:00:10,300,0.000,0.000,0.008,0.084,-4.173,0.001,-7.386,0.002,0.001,1.691,-0.00033464,0.001,,,,,
+000:00:10,400,0.002,0.002,0.007,0.075,-4.174,0.002,-7.390,0.003,0.002,1.688,-0.00171164,0.004,,,,,
+000:00:10,500,0.002,0.002,0.007,0.072,-4.178,0.002,-7.390,0.003,0.003,1.692,2.98602E-05,0.002,,,,,
+000:00:10,600,0.004,0.004,0.008,0.084,-4.156,-0.002,-7.360,-0.003,-0.003,1.696,0.00160936,0.002,,,,,
+000:00:10,700,0.001,0.001,0.006,0.060,-4.143,-0.004,-7.352,-0.005,-0.005,1.695,0.00124486,0.000,,,,,
+000:00:10,800,0.005,0.005,0.003,0.032,-4.183,0.003,-7.397,0.004,0.004,1.690,-0.00061814,0.005,,,,,
+000:00:10,900,0.004,0.004,0.005,0.053,-4.173,0.001,-7.390,0.003,0.002,1.690,-0.00061814,0.005,,,,,
+000:00:11,0,0.002,0.002,0.009,0.093,-4.169,0.000,-7.370,-0.001,0.000,1.693,0.00039436,0.002,,,,,
+000:00:11,100,0.002,0.002,0.004,0.044,-4.163,-0.001,-7.362,-0.003,-0.002,1.690,-0.00061814,0.003,,,,,
+000:00:11,200,0.001,0.001,0.007,0.069,-4.163,-0.001,-7.384,0.001,0.000,1.689,-0.00110414,0.002,,,,,
+000:00:11,300,0.000,0.000,0.002,0.023,-4.181,0.003,-7.399,0.004,0.004,1.697,0.00213586,-0.002,,,,,
+000:00:11,400,-0.002,-0.002,0.004,0.038,-4.165,0.000,-7.374,0.000,0.000,1.688,-0.00171164,0.000,,,,,
+000:00:11,500,-0.001,-0.001,0.013,0.130,-4.125,-0.008,-7.336,-0.008,-0.008,1.688,-0.00171164,0.000,,,,,
+000:00:11,600,0.000,0.000,0.004,0.038,-4.178,0.002,-7.391,0.003,0.003,1.692,-9.16398E-05,0.001,,,,,
+000:00:11,700,-0.002,-0.002,0.000,-0.002,-4.172,0.001,-7.392,0.003,0.002,1.701,0.00359386,-0.006,,,,,
+000:00:11,800,0.000,0.000,-0.001,-0.011,-4.177,0.002,-7.385,0.002,0.002,1.689,-0.00110414,0.001,,,,,
+000:00:11,900,0.000,0.000,0.003,0.032,-4.147,-0.004,-7.345,-0.006,-0.005,1.691,-0.00049664,0.001,,,,,
+000:00:12,0,0.000,0.000,0.002,0.023,-4.155,-0.002,-7.370,-0.001,-0.002,1.692,-9.16398E-05,0.001,,,,,
+000:00:12,100,0.000,0.000,0.005,0.050,-4.184,0.003,-7.401,0.005,0.004,1.687,-0.00195464,0.002,,,,,
+000:00:12,200,0.000,0.000,-0.002,-0.017,-4.170,0.001,-7.383,0.001,0.001,1.687,-0.00183314,0.002,,,,,
+000:00:12,300,0.004,0.004,0.001,0.008,-4.154,-0.002,-7.346,-0.006,-0.004,1.694,0.00100186,0.003,,,,,
+000:00:12,400,0.001,0.001,0.004,0.035,-4.174,0.001,-7.388,0.002,0.002,1.696,0.00173086,-0.001,,,,,
+000:00:12,500,0.002,0.002,0.004,0.041,-4.170,0.001,-7.387,0.002,0.001,1.695,0.00112336,0.001,,,,,
+000:00:12,600,0.000,0.000,0.006,0.063,-4.181,0.003,-7.395,0.004,0.003,1.690,-0.00061814,0.001,,,,,
+000:00:12,700,0.005,0.005,0.011,0.105,-4.158,-0.001,-7.366,-0.002,-0.002,1.692,-9.16398E-05,0.005,,,,,
+000:00:12,800,-0.001,-0.001,0.005,0.053,-4.142,-0.004,-7.349,-0.005,-0.005,1.696,0.00185236,-0.003,,,,,
+000:00:12,900,0.004,0.004,0.006,0.060,-4.180,0.003,-7.398,0.004,0.003,1.690,-0.00073964,0.005,,,,,
+000:00:13,0,0.002,0.002,0.007,0.069,-4.173,0.001,-7.390,0.003,0.002,1.690,-0.00073964,0.002,,,,,
+000:00:13,100,0.001,0.001,0.012,0.117,-4.165,0.000,-7.372,-0.001,0.000,1.696,0.00173086,0.000,,,,,
+000:00:13,200,0.003,0.003,0.007,0.075,-4.159,-0.001,-7.360,-0.003,-0.002,1.690,-0.00061814,0.003,,,,,
+000:00:13,300,0.000,0.000,0.001,0.011,-4.164,0.000,-7.384,0.001,0.001,1.688,-0.00134714,0.001,,,,,
+000:00:13,400,0.000,0.000,0.000,0.002,-4.182,0.003,-7.397,0.004,0.004,1.692,2.98602E-05,0.000,,,,,
+000:00:13,500,-0.002,-0.002,0.006,0.063,-4.162,-0.001,-7.367,-0.002,-0.001,1.700,0.00335086,-0.006,,,,,
+000:00:13,600,0.004,0.004,0.000,0.002,-4.141,-0.005,-7.343,-0.006,-0.006,1.688,-0.00134714,0.005,,,,,
+000:00:13,700,-0.001,-0.001,0.005,0.053,-4.182,0.003,-7.396,0.004,0.003,1.691,-0.00049664,-0.001,,,,,
+000:00:13,800,0.002,0.002,-0.001,-0.008,-4.174,0.001,-7.390,0.003,0.002,1.692,2.98602E-05,0.002,,,,,
+000:00:13,900,0.000,0.000,0.006,0.063,-4.165,0.000,-7.373,-0.001,0.000,1.698,0.00250036,-0.003,,,,,
+000:00:14,0,0.000,0.000,0.005,0.050,-4.157,-0.002,-7.359,-0.003,-0.002,1.688,-0.00146864,0.002,,,,,
+000:00:14,100,0.000,0.000,0.005,0.050,-4.163,-0.001,-7.380,0.001,0.000,1.690,-0.00086114,0.001,,,,,
+000:00:14,200,0.001,0.001,0.004,0.035,-4.185,0.004,-7.401,0.005,0.004,1.699,0.00274336,-0.002,,,,,
+000:00:14,300,-0.002,-0.002,0.002,0.020,-4.168,0.000,-7.381,0.001,0.001,1.696,0.00185236,-0.004,,,,,
+000:00:14,400,0.001,0.001,0.003,0.026,-4.154,-0.002,-7.347,-0.006,-0.004,1.689,-0.00122564,0.002,,,,,
+000:00:14,500,0.001,0.001,0.007,0.075,-4.169,0.001,-7.378,0.000,0.000,1.693,0.00051586,0.001,,,,,
+000:00:14,600,0.003,0.003,0.010,0.096,-4.168,0.000,-7.386,0.002,0.001,1.694,0.00100186,0.002,,,,,
+000:00:14,700,0.000,0.000,0.004,0.038,-4.183,0.003,-7.398,0.004,0.004,1.690,-0.00086114,0.001,,,,,
+000:00:14,800,0.006,0.006,0.005,0.053,-4.163,-0.001,-7.373,-0.001,-0.001,1.688,-0.00159014,0.007,,,,,
+000:00:14,900,0.002,0.002,0.006,0.056,-4.130,-0.007,-7.334,-0.008,-0.007,1.693,0.00063736,0.001,,,,,
+000:00:15,0,0.006,0.006,0.008,0.081,-4.177,0.002,-7.394,0.003,0.003,1.690,-0.00061814,0.006,,,,,
+000:00:15,100,-0.002,-0.002,0.003,0.029,-4.172,0.001,-7.390,0.003,0.002,1.688,-0.00171164,-0.001,,,,,
+000:00:15,200,0.003,0.003,0.004,0.041,-4.177,0.002,-7.387,0.002,0.002,1.691,-0.00049664,0.003,,,,,
+000:00:15,300,-0.001,-0.001,0.005,0.047,-4.150,-0.003,-7.353,-0.004,-0.004,1.701,0.00359386,-0.004,,,,,
+000:00:15,400,0.002,0.002,0.002,0.023,-4.153,-0.003,-7.366,-0.002,-0.002,1.688,-0.00146864,0.003,,,,,
+000:00:15,500,-0.004,-0.004,0.001,0.008,-4.185,0.004,-7.401,0.005,0.004,1.691,-0.00021314,-0.003,,,,,
+000:00:15,600,0.000,0.000,0.002,0.023,-4.172,0.001,-7.387,0.002,0.002,1.692,-9.16398E-05,0.000,,,,,
+000:00:15,700,-0.001,-0.001,0.003,0.032,-4.158,-0.001,-7.359,-0.003,-0.002,1.695,0.00136636,-0.002,,,,,
+000:00:15,800,0.000,0.000,0.004,0.041,-4.166,0.000,-7.373,-0.001,0.000,1.691,-0.00033464,0.000,,,,,
+000:00:15,900,-0.004,-0.004,-0.002,-0.023,-4.165,0.000,-7.384,0.001,0.001,1.688,-0.00146864,-0.002,,,,,
+000:00:16,0,0.001,0.001,0.004,0.038,-4.184,0.003,-7.398,0.004,0.004,1.697,0.00213586,-0.001,,,,,
+000:00:16,100,0.000,0.000,0.002,0.017,-4.166,0.000,-7.378,0.000,0.000,1.693,0.00063736,-0.001,,,,,
+000:00:16,200,0.001,0.001,0.004,0.035,-4.150,-0.003,-7.334,-0.008,-0.006,1.692,0.00015136,0.001,,,,,
+000:00:16,300,-0.004,-0.004,-0.001,-0.011,-4.174,0.002,-7.385,0.002,0.002,1.693,0.00063736,-0.004,,,,,
+000:00:16,400,0.005,0.005,0.002,0.017,-4.168,0.000,-7.388,0.002,0.001,1.696,0.00160936,0.003,,,,,
+000:00:16,500,0.000,0.000,0.003,0.032,-4.184,0.003,-7.397,0.004,0.004,1.691,-0.00049664,0.001,,,,,
+000:00:16,600,0.003,0.003,0.004,0.035,-4.163,0.000,-7.370,-0.001,-0.001,1.690,-0.00086114,0.004,,,,,
+000:00:16,700,-0.007,-0.007,0.000,0.002,-4.143,-0.004,-7.346,-0.006,-0.005,1.692,0.00027286,-0.008,,,,,
+000:00:16,800,0.005,0.005,0.004,0.041,-4.183,0.003,-7.397,0.004,0.004,1.689,-0.00098264,0.006,,,,,
+000:00:16,900,0.002,0.002,0.011,0.108,-4.170,0.001,-7.390,0.003,0.002,1.688,-0.00159014,0.004,,,,,
+000:00:17,0,0.004,0.004,0.008,0.078,-4.169,0.001,-7.376,0.000,0.000,1.692,-9.16398E-05,0.004,,,,,
+000:00:17,100,-0.001,-0.001,0.000,0.002,-4.158,-0.002,-7.356,-0.004,-0.003,1.702,0.00432286,-0.006,,,,,
+000:00:17,200,0.002,0.002,0.006,0.056,-4.161,-0.001,-7.375,0.000,-0.001,1.688,-0.00159014,0.004,,,,,
+000:00:17,300,0.002,0.002,0.000,0.005,-4.185,0.004,-7.401,0.005,0.004,1.689,-0.00098264,0.003,,,,,
+000:00:17,400,0.002,0.002,0.002,0.020,-4.171,0.001,-7.386,0.002,0.001,1.693,0.00039436,0.002,,,,,
+000:00:17,500,-0.002,-0.002,-0.002,-0.020,-4.161,-0.001,-7.360,-0.003,-0.002,1.698,0.00250036,-0.005,,,,,
+000:00:17,600,0.000,0.000,0.007,0.072,-4.163,0.000,-7.368,-0.002,-0.001,1.691,-0.00049664,0.001,,,,,
+000:00:17,700,0.000,0.000,0.000,0.005,-4.164,0.000,-7.380,0.001,0.000,1.689,-0.00122564,0.001,,,,,
+000:00:17,800,0.001,0.001,0.000,0.005,-4.185,0.004,-7.400,0.004,0.004,1.699,0.00286486,-0.001,,,,,
+000:00:17,900,-0.005,-0.005,0.000,0.002,-4.167,0.000,-7.381,0.001,0.001,1.696,0.00160936,-0.006,,,,,
+000:00:18,0,0.003,0.003,0.000,0.002,-4.158,-0.002,-7.352,-0.005,-0.003,1.689,-0.00098264,0.004,,,,,
+000:00:18,100,0.002,0.002,0.006,0.056,-4.166,0.000,-7.377,0.000,0.000,1.693,0.00051586,0.001,,,,,
+000:00:18,200,0.002,0.002,0.003,0.029,-4.167,0.000,-7.386,0.002,0.001,1.693,0.00063736,0.001,,,,,
+000:00:18,300,-0.005,-0.005,0.002,0.017,-4.183,0.003,-7.399,0.004,0.004,1.688,-0.00146864,-0.003,,,,,
+000:00:18,400,0.002,0.002,-0.002,-0.017,-4.170,0.001,-7.382,0.001,0.001,1.688,-0.00146864,0.003,,,,,
+000:00:18,500,0.001,0.001,0.003,0.026,-4.157,-0.002,-7.348,-0.005,-0.004,1.696,0.00160936,-0.001,,,,,
+000:00:18,600,0.004,0.004,0.010,0.099,-4.171,0.001,-7.383,0.001,0.001,1.690,-0.00086114,0.005,,,,,
+000:00:18,700,-0.002,-0.002,0.007,0.075,-4.169,0.001,-7.389,0.002,0.001,1.688,-0.00134714,-0.001,,,,,
+000:00:18,800,0.002,0.002,0.003,0.032,-4.177,0.002,-7.392,0.003,0.003,1.692,0.00015136,0.002,,,,,
+000:00:18,900,0.004,0.004,0.000,0.005,-4.162,-0.001,-7.367,-0.002,-0.001,1.700,0.00335086,0.000,,,,,
+000:00:19,0,0.002,0.002,0.007,0.072,-4.148,-0.003,-7.326,-0.010,-0.007,1.688,-0.00159014,0.003,,,,,
+000:00:19,100,0.005,0.005,0.005,0.050,-4.172,0.001,-7.379,0.001,0.001,1.691,-0.00033464,0.006,,,,,
+000:00:19,200,0.002,0.002,0.007,0.069,-4.167,0.000,-7.386,0.002,0.001,1.692,-9.16398E-05,0.002,,,,,
+000:00:19,300,0.001,0.001,0.001,0.008,-4.184,0.003,-7.395,0.004,0.003,1.686,-0.00219764,0.003,,,,,
+000:00:19,400,0.002,0.002,0.004,0.035,-4.165,0.000,-7.375,0.000,0.000,1.689,-0.00122564,0.004,,,,,
+000:00:19,500,0.000,0.000,0.007,0.066,-4.146,-0.004,-7.345,-0.006,-0.005,1.692,2.98602E-05,0.000,,,,,
+000:00:19,600,0.001,0.001,0.001,0.011,-4.176,0.002,-7.389,0.002,0.002,1.698,0.00250036,-0.002,,,,,
+000:00:19,700,-0.003,-0.003,0.003,0.029,-4.171,0.001,-7.390,0.002,0.002,1.696,0.00160936,-0.005,,,,,
+000:00:19,800,0.001,0.001,0.003,0.026,-4.178,0.002,-7.393,0.003,0.003,1.689,-0.00098264,0.002,,,,,
+000:00:19,900,-0.002,-0.002,-0.001,-0.008,-4.163,-0.001,-7.369,-0.001,-0.001,1.691,-0.00021314,-0.002,,,,,
+000:00:20,0,-0.002,-0.002,0.001,0.011,-4.148,-0.003,-7.326,-0.010,-0.007,1.691,-0.00049664,-0.001,,,,,
+000:00:20,100,0.000,0.000,0.004,0.035,-4.173,0.001,-7.381,0.001,0.001,1.691,-0.00049664,0.000,,,,,
